DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12582_c0	Phosphatidylinositol-4,5-bisphosphate	ptd145bp_SC	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate|1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate|Phosphatidyl-myo-inositol 4,5-bisphosphate|Phosphatidylinositol-4,5-bisphosphate|1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate)|1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate, yeast-specific	C04637	C11H16O19P3R2	-3
cpd12583_c0	Heparan sulfate N-acetyl-alpha-D-glucosaminide	Heparan sulfate N-acetyl-alpha-D-glucosaminide	Heparan sulfate N-acetyl-alpha-D-glucosaminide	C04649	C20H33N2O25S3*	0
cpd12584_c0	1,4-beta-Galactosyl-N-acetyl-D-glucosaminyl-R	1,4-beta-Galactosyl-N-acetyl-D-glucosaminyl-R	1,4-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R|1,4-beta-Galactosyl-N-acetyl-D-glucosaminyl-R	C04657	C14H24NO11R	0
cpd12585_c0	4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside	4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside	4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside	C04662	C7H12O6	0
cpd12586_c0	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)	C04667	C13H24NO12P*2	0
cpd12587_c0	Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate	Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate	Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate	C04678	C33H57NO9P	-1
cpd12588_c0	[eIF5A-precursor]-hypusine	[eIF5A-precursor]-hypusine	Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine|[eIF5A-precursor]-hypusine	C04679	C11H22N4O3R2	0
cpd12589_c0	Retinyl-ester-(cellular-retinol-binding-protein)	Retinyl-ester-(cellular-retinol-binding-protein)	Retinyl-ester-(cellular-retinol-binding-protein)	C04680	C21H29O2R	0
cpd12590_c0	Holo-[acetyl-CoA carboxylase]	Holo-[acetyl-CoA carboxylase]	[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[acetyl-CoA carboxylase]|Biotin-[acetyl-CoA carboxylase]	C04681	C17H27N5O4R2S	0
cpd12591_c0	Holo-[methylmalonyl-CoA-carboxyltransferase]	Holo-[methylmalonyl-CoA-carboxyltransferase]	[Methylmalonyl-CoA:pyruvate carboxytransferase]|Holo-[methylmalonyl-CoA:pyruvate carboxytransferase]|Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase]|Holo-[methylmalonyl-CoA-carboxyltransferase]|Biotin-[methylmalonyl-CoA-carboxyltransferase]	C04682	C17H27N5O4R2S	0
cpd12592_c0	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R	C04683	C17H27NO14R	-1
cpd12593_c0	7-Methylguanosine 5'-triphospho-5'-polynucleotide	7-Methylguanosine 5'-triphospho-5'-polynucleotide	7-Methylguanosine 5'-triphospho-5'-polynucleotide	C04696	C26H37N5O29P5R3	-4
cpd12594_c0	alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol	alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol	alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol|1,3-Diacyl-2-O-(alpha-D-galactosyl(1->4)-O-beta-D-galactosyl)-sn- glycerol	C04714	C17H26O15R2	0
cpd12595_c0	Oligosaccharide containing 6-methyl-D-glucose units	Oligosaccharide containing 6-methyl-D-glucose units	Oligosaccharide containing 6-methyl-D-glucose units|1,4-alpha-D-Glucooligosaccharide containing 6-O-methyl-D-glucose units	C04725	C19H32O15*2	0
cpd12596_c0	[3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]	[3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]	[3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]|[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]	C04726	C4H6N2O3R2	0
cpd12597_c0	Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|[Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Biotin-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]|Biotin-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	C04727	C17H27N5O4R2S	0
